,t_stat,p_val
"[1,208]",-1.6016092642770392,0.10934263004458852
"[1,209]",-1.299973623325939,0.19370542662047133
"[1,210]",-2.0204928920021286,0.04341702276981542
"[1,211]",2.929991315105944,0.0034141506714549666
"[1,212]",1.5174532722394696,0.12925294956127165
"[1,213]",-1.5586152308878922,0.11918825217116963
"[1,214]",-3.7005262882329526,0.00021884456101614762
"[1,215]",-0.5509765795053263,0.5816889288098559
"[1,216]",-0.07595476106316944,0.9394599283720666
"[1,217]",-3.1145202095603355,0.0018590562822490102
"[1,218]",-2.262681207091865,0.023723385964770735
"[1,219]",-7.1108150296767825,1.4221956477955609e-12
"[1,220]",-1.8272706950747704,0.06775394635222524
"[1,221]",-1.4110462148496934,0.15833005506281797
"[1,222]",-0.5078454317214571,0.611597415955147
"[1,223]",4.16253355100108,3.2319185764802e-05
"[1,224]",1.3998570432423758,0.16165492165692816
"[1,225]",-1.379205412179997,0.1679296531671896
"[1,226]",-1.9204607287919497,0.054890203277372845
"[1,227]",-5.1498379036318465,2.767862946304086e-07
"[1,228]",-4.787739564324669,1.764709051251366e-06
"[1,229]",2.2209331583537915,0.02642657689571219
"[1,230]",-1.529206182449058,0.12631406551433555
"[1,231]",5.6355065094183265,1.8997943232005994e-08
"[1,232]",7.79785743995286,8.50099100827332e-15
"[1,233]",1.304396429950514,0.19219405127861414
"[1,234]",-5.0103074847442635,5.734849210531689e-07
"[1,235]",-3.2311456381050148,0.0012456850839854734
"[1,236]",-4.194567808896693,2.8095728177903525e-05
"[1,237]",4.9473501303209115,7.918858416527846e-07
"[1,238]",-0.9655602908683173,0.3343386108232844
"[1,239]",-2.319933978247038,0.0204082599731243
"[1,240]",-0.8963684294731872,0.3701247364976764
"[1,241]",2.188207935588084,0.02872790591346572
"[1,242]",8.212238998482455,3.1354410862476647e-16
"[1,243]",7.164026066806108,9.718117488110271e-13
"[1,244]",3.9513814014936957,7.941172804997793e-05
"[1,245]",-4.6954120804062605,2.774714978561572e-06
"[1,246]",-0.7032444985698979,0.4819555298804471
"[2,3]",2.182351705910879,0.029157450581711795
"[2,4]",0.4900347496644207,0.6241435451057971
"[2,5]",-0.48207092974134763,0.6297891589350098
"[2,6]",-2.021249221625889,0.0433386620056549
"[2,7]",-4.763325695974683,1.9906018839703e-06
"[2,8]",-5.7049898421077305,1.271612877943548e-08
"[2,9]",-0.9805650958573692,0.3268827968142092
"[2,10]",-4.206741303452305,2.6632868226993032e-05
"[2,11]",0.5420639035963096,0.5878129478555196
"[2,12]",-1.2878095058435022,0.19790718242173866
"[2,13]",1.7378916697917017,0.08232793994012556
"[2,14]",-0.5740828546021461,0.5659528545455044
"[2,15]",-0.8858014839536633,0.3757923403235701
"[2,16]",-0.5448850834056597,0.5858712522438192
"[2,17]",3.620310326009858,0.0002988980945633064
"[2,18]",0.965993775693998,0.3341216875021531
"[2,19]",1.7761084876219912,0.07581185390087032
"[2,20]",0.1798759306706125,0.8572615782308679
"[2,21]",6.0281223488760824,1.8516623660268642e-09
"[2,22]",5.921658580063685,3.5317000330010973e-09
"[2,23]",2.545817546125984,0.010949612546140273
"[2,24]",3.3146321118263127,0.000928056801075404
"[2,25]",0.07013189891635774,0.9440931434630514
"[2,26]",-0.9817830582516437,0.3262823747689745
"[2,27]",5.605980772470837,2.250067974076096e-08
"[2,28]",5.291486461695981,1.2965935249391115e-07
"[2,29]",0.874667240670989,0.3818218842248434
"[2,30]",-2.0693635585400085,0.0385936070217034
"[2,31]",2.234154753894223,0.02554301857829702
"[2,32]",0.9131022991403482,0.3612588433900309
"[2,33]",-0.5957236123182619,0.5514028164627893
"[2,34]",-4.053174016841754,5.175312662544796e-05
"[2,35]",3.3112073635009787,0.0009394500662377147
"[2,36]",-0.6950376125244079,0.4870831582392464
"[2,37]",-1.0331193927969766,0.30162759136103473
"[2,38]",-3.2805554339256466,0.0010473488108727119
"[2,39]",-2.990414001128266,0.002807633574824165
"[2,40]",-4.118809614887411,3.9065990587217945e-05
"[2,41]",1.705850834983218,0.08813475029717133
"[2,42]",1.8387967555114453,0.06603946634761426
"[2,43]",2.856566835327747,0.004310648239426739
"[2,44]",3.7466435667388116,0.00018243911537332928
"[2,45]",6.532226766528719,7.531154864540403e-11
"[2,46]",5.38467277653902,7.792138951709696e-08
"[2,47]",0.29876733579999837,0.7651373458192353
"[2,48]",-0.15712787586859756,0.8751541709109096
"[2,49]",-3.527783315227802,0.00042506058293751326
"[2,50]",-2.2654600654005153,0.02355229556653649
"[2,51]",2.714143026930317,0.006681057922477517
"[2,52]",1.2234839836643667,0.22123875450319386
"[2,53]",1.2995565162011338,0.19384841104587525
"[2,54]",-0.33685587679513956,0.7362480605365189
"[2,55]",-5.010338307637788,5.733938030296565e-07
"[2,56]",-5.119297755928273,3.2514316797464096e-07
"[2,57]",-3.219024566172853,0.001299375844745438
"[2,58]",-1.3658399679020288,0.17208701827466813
"[2,59]",-3.6155402983888494,0.0003044330268001804
"[2,60]",-3.76532246961506,0.00016938216476091692
"[2,61]",-0.6094961518146977,0.5422397209676186
"[2,62]",-1.9678655451353426,0.04917138221393425
"[2,63]",2.778972226854542,0.005485562675404644
"[2,64]",-0.8355327738101066,0.40348137263708395
"[2,65]",0.4704664696815524,0.6380544607203256
"[2,66]",-1.3992308549357653,0.1618425404261669
"[2,67]",1.3024799723547724,0.19284788076385403
"[2,68]",1.8541104752817175,0.06381706473614533
"[2,69]",1.786809636850429,0.07406469917953698
"[2,70]",0.36094455716504187,0.7181651749473993
"[2,71]",-0.7224739119526673,0.47005696215915294
"[2,72]",-2.0862037210989848,0.03704068553776246
"[2,73]",-1.7226074931961486,0.08505799381776677
"[2,74]",-4.269202366571194,2.0198298289369197e-05
"[2,75]",1.5273445589347336,0.12677607387901174
"[2,76]",-0.10759691342223333,0.9143223196417647
"[2,77]",-4.870032865092108,1.170970996882291e-06
"[2,78]",-6.3042422081404075,3.30120313947367e-10
"[2,79]",0.06999154504584142,0.94420484615511
"[2,80]",0.05929578462739028,0.9527202918577353
"[2,81]",2.8933947795983914,0.0038372636573175676
"[2,82]",3.0696024250192178,0.002161760270730812
"[2,83]",-1.0513145617877124,0.2931950413817855
"[2,84]",-1.4412806571167958,0.14960512413311863
"[2,85]",0.4847168303958104,0.6279110363673346
"[2,86]",-0.021822353946094882,0.9825910491194687
"[2,87]",0.07127119816005155,0.9431864562959893
"[2,88]",-0.7177037975185789,0.4729933310070541
"[2,89]",-2.670330742324778,0.007616716080160224
"[2,90]",-4.423894714304948,1.0023161513261338e-05
"[2,91]",3.2660646433118674,0.001102254617846615
"[2,92]",1.7599748914609017,0.07850942060017956
"[2,93]",-1.6820271065682653,0.09266301640693862
"[2,94]",-1.984749689510662,0.04725922008960816
"[2,95]",-0.37799206597720836,0.7054620377663949
"[2,96]",-2.6569858240739705,0.007924193218789302
"[2,97]",3.4411987506652473,0.0005867048099875681
"[2,98]",2.92970329377376,0.0034173077653663806
"[2,99]",3.215977057342115,0.0013132070165088482
"[2,100]",1.7336161194085264,0.08308437796956425
"[2,101]",0.9377408470538381,0.34844972739625135
"[2,102]",-2.0951012066619668,0.03624191447529179
"[2,103]",-0.3514321359554632,0.7252877561486331
"[2,104]",-0.582622091176891,0.560189564653385
"[2,105]",1.8384331664173414,0.06609299794692133
"[2,106]",0.8133286352599853,0.41609132933222137
"[2,107]",2.155615666954024,0.03118944597826042
"[2,108]",0.8418256021044739,0.3999496873922488
